no,n,interval,root,bisect_fallback,bisection,regula_falsi,abkk,barycentric,zhang,ridders,illinois,blendtf,itp,bdqrf,rbp,pegasus,toms748,brent,brentq,anderson_bjorck,brenth,muller,modab,chandrupatla
102,,"[-10,10]",7.777777777777778E-01,regula_falsi,45,1045,28,51,24,24,23,32,15,24,84,33,37,30,30,24,31,107,17,19
103,,"[1,2]",1.732050807568877E+00,,45,16,18,31,14,12,9,23,9,4,4,8,7,8,8,8,8,4,8,8
104,,"[2,7]",2.236067977499790E+00,regula_falsi,47,1047,22,23,21,18,10,29,12,4,5,9,9,8,8,8,8,4,11,8
105,,"[3,7]",3.162277660168379E+00,regula_falsi,46,1046,22,23,16,16,10,29,10,8,6,10,8,8,8,9,8,6,9,9
106,,"[1,4]",2.000000000000000E+00,,46,42,18,25,14,14,10,3,10,4,4,10,10,10,10,9,9,4,9,9
107,,"[1,3]",1.828427124746190E+00,,46,23,16,27,12,12,10,23,10,4,4,9,8,8,8,8,8,4,8,8
108,,"[0,2]",1.259921049894873E+00,,46,45,22,33,18,14,13,29,10,12,10,11,10,9,9,11,9,10,10,9
109,,"[0,2]",1.524345204984144E+00,regula_falsi,46,1046,20,26,14,10,12,23,9,12,12,10,10,9,9,10,10,13,10,9
110,,"[0,1]",7.390851332151607E-01,,46,14,16,31,14,12,9,23,9,12,8,8,7,8,8,8,8,7,8,8
111,,"[0,2]",1.114157140871930E+00,,47,8,14,31,12,12,8,20,9,12,8,7,7,7,7,7,7,8,8,8
112,,"[-2,4]",2.073932809091215E+00,,47,14,18,37,16,14,11,26,12,14,10,10,11,10,10,10,10,10,10,10
113,,"[0,1.3]",1.000000000000000E+00,regula_falsi,46,1046,20,28,18,14,17,29,47,14,12,15,16,10,10,26,10,14,12,11
114,,"[1,2]",1.649013268303190E+00,,45,17,18,31,12,12,9,23,9,8,8,8,7,8,8,8,8,7,8,7
115,,"[3,4]",3.221588399093942E+00,,44,47,20,49,18,14,10,23,9,10,10,10,9,9,9,9,9,8,9,9
116,,"[2,3]",2.125391198811130E+00,regula_falsi,45,1045,20,17,16,12,9,23,9,10,8,10,8,8,8,8,8,8,9,10
117,,"[0.5,1]",8.767262153950625E-01,,45,19,18,29,14,14,10,17,10,10,8,8,8,8,8,8,8,7,8,8
118,,"[1,2]",1.521379706804580E+00,,45,32,20,23,12,10,11,26,10,10,8,9,8,9,9,9,9,7,9,8
119,,"[-1,1]",5.671432904097838E-01,,48,33,20,24,13,10,12,29,11,12,10,10,10,10,10,10,9,9,10,9
120,,"[-1,1]",1.000000000000000E-01,,50,43,16,31,12,12,7,20,9,12,10,9,8,9,9,8,9,9,8,10
121,,"[-1,1]",-5.235987755982989E-01,,48,11,18,35,16,14,9,20,10,14,9,8,8,8,8,8,8,8,9,9
122,,"[-1,1]",-8.439145686492663E-01,,47,37,22,29,15,16,12,32,21,14,12,10,10,10,10,11,11,11,12,12
123,,"[-1,1]",8.350790427235590E-01,,47,56,24,27,16,12,13,26,48,14,14,12,12,12,12,11,10,12,12,12
124,,"[-1,1]",8.735685268302318E-01,,47,16,16,23,17,10,10,20,10,10,9,8,8,8,8,8,8,8,8,9
125,,"[-1,1]",-3.702012770786092E-02,,51,14,20,37,16,14,13,29,19,16,16,11,10,10,10,11,10,14,11,12
126,,"[-1,1]",-2.006550332058069E-04,,52,12,14,39,18,16,12,26,10,16,9,11,11,11,11,11,11,9,9,9
